origin_date,target,horizon_months,y_true,VAR,Ridge,ElasticNet,LSTM_Adam,LSTM_SGD,GRU_Adam,GRU_SGD
2023-06-01,indpro_total_yoy,1,-0.3129676224488342,-1.3471887594797205,-2.0113083693496976,-1.40626691038109,-0.8165552616119385,-0.5671210885047913,-0.4517512917518616,-2.05853009223938
2023-07-01,indpro_total_yoy,1,-0.2545367322614567,0.497653039929014,-1.8490737783478688,-1.3648710259639092,-0.7765101790428162,-0.4919329285621643,0.2062413096427917,-2.0302114486694336
2023-08-01,indpro_total_yoy,1,-0.2676054384532556,-0.1308061431953562,-1.437384984869694,-0.8927067082463775,-0.847418487071991,-0.3888508677482605,0.3122691512107849,-2.110184669494629
2023-09-01,indpro_total_yoy,1,-0.7773120679349432,0.1137662954799725,-1.3130756746229115,-0.8009362319350264,-1.000156283378601,-0.2693883776664734,0.3703382611274719,-1.650204300880432
2023-10-01,indpro_total_yoy,1,-0.0904770720197234,-0.8235267224883009,-0.9796065441418688,-0.768702841546534,-1.110266089439392,-0.2176992297172546,0.3359254002571106,-1.487266182899475
2023-11-01,indpro_total_yoy,1,0.8351619016677247,0.5771136441471274,-0.6717168811766285,-0.7790771318182466,-1.1947962045669556,-0.0527884364128112,0.6773892045021057,-1.4468762874603271
2023-12-01,indpro_total_yoy,1,-1.284469009080702,0.9548511778074732,0.752155551789158,-0.06519678099863,-1.4169503450393677,0.1623113453388214,1.240755915641785,-1.5049484968185425
2024-01-01,indpro_total_yoy,1,-0.3549558638936467,-2.2154870357361593,0.1850174942363027,-0.0992138199705481,-0.3807702362537384,0.0760521069169044,-0.0257901065051555,-0.2090389281511306
2024-02-01,indpro_total_yoy,1,-0.558871405693484,0.6487438299355592,-0.8583087278918047,-1.2844539201632674,-0.2477893978357315,0.211980253458023,0.2849363088607788,-0.2396164685487747
2024-03-01,indpro_total_yoy,1,-1.002110656936761,-0.4532669344534188,-0.189865885304274,-0.4808724091892564,0.0291650183498859,0.4696262180805206,0.6926623582839966,-0.0458108931779861
2024-04-01,indpro_total_yoy,1,-0.0650175748751813,-1.2899685314689768,-0.5638096330000804,-0.7758622985740211,0.2849211096763611,0.6641742587089539,0.9798152446746826,0.0164767801761627
2024-05-01,indpro_total_yoy,1,0.7704989424971664,0.6322773981133492,-0.5486014423684851,-0.855977428066554,0.3456385731697082,0.497347742319107,0.8754194974899292,-0.0099031925201416
2024-06-01,indpro_total_yoy,1,-0.9269171074808292,0.7442997844798314,-0.3594272696055487,-0.4458055559335943,0.3165229558944702,0.5401596426963806,0.7590105533599854,-0.0068209618330001
2024-07-01,indpro_total_yoy,1,-0.4058231775028176,-1.1674870620208049,0.5985363881022181,0.3412762146086656,0.4295375943183899,0.5441038012504578,0.7504892349243164,0.0628658235073089
2024-08-01,indpro_total_yoy,1,-1.207705780137136,-0.2342841236853476,-0.3029380696279906,-0.7739584122108996,0.2751574516296386,0.2890178263187408,0.5805164575576782,-0.1219138652086258
2024-09-01,indpro_total_yoy,1,-0.99971623619437,-1.807169351124436,-0.0389549721354325,-0.3504588890928275,0.126564547419548,0.3037648499011993,0.5857802629470825,-0.1994333118200302
